member_id,days_since_last_checkin,momentum_drop,purchase_drop,pending_cancel_flag,score,band
1,22,0.0,0.0,0.0,12.8,GREEN
2,24,0.0,0.0,0.0,14.0,GREEN
3,24,0.0,0.0,0.0,14.0,GREEN
4,22,0.0,0.0,0.0,12.8,GREEN
5,22,0.0,0.0,0.0,12.8,GREEN
6,34,0.0,0.0,0.0,19.8,GREEN
7,25,0.0,0.0,0.0,14.6,GREEN
8,29,0.0,0.0,0.0,16.9,GREEN
9,24,0.0,0.0,0.0,14.0,GREEN
10,24,0.0,0.0,0.0,14.0,GREEN
11,24,0.0,0.0,0.0,14.0,GREEN
12,24,0.0,0.0,0.0,14.0,GREEN
13,25,0.0,0.0,0.0,14.6,GREEN
14,31,0.0,0.0,0.0,18.1,GREEN
15,22,0.0,0.0,0.0,12.8,GREEN
16,26,0.0,0.0,0.0,15.2,GREEN
17,35,0.0,0.0,0.0,20.4,GREEN
18,32,0.0,0.0,0.0,18.7,GREEN
19,23,0.0,0.0,0.0,13.4,GREEN
20,24,0.0,0.0,0.0,14.0,GREEN
21,23,0.0,0.0,0.0,13.4,GREEN
22,29,0.0,0.0,0.0,16.9,GREEN
23,29,0.0,0.0,0.0,16.9,GREEN
24,28,0.0,0.0,0.0,16.3,GREEN
25,23,0.0,0.0,0.0,13.4,GREEN
26,24,0.0,0.0,0.0,14.0,GREEN
27,27,0.0,0.0,0.0,15.8,GREEN
28,23,0.0,0.0,0.0,13.4,GREEN
29,27,0.0,0.0,0.0,15.8,GREEN
30,23,0.0,0.0,0.0,13.4,GREEN
31,38,0.0,0.0,0.0,22.2,GREEN
32,32,0.0,0.0,0.0,18.7,GREEN
33,29,0.0,0.0,0.0,16.9,GREEN
34,26,0.0,0.0,0.0,15.2,GREEN
35,25,0.0,0.0,0.0,14.6,GREEN
36,22,0.0,0.0,0.0,12.8,GREEN
37,23,0.0,0.0,0.0,13.4,GREEN
38,31,0.0,0.0,0.0,18.1,GREEN
39,23,0.0,0.0,0.0,13.4,GREEN
40,22,0.0,0.0,0.0,12.8,GREEN
41,22,0.0,0.0,0.0,12.8,GREEN
42,24,0.0,0.0,0.0,14.0,GREEN
43,30,0.0,0.0,0.0,17.5,GREEN
44,28,0.0,0.0,0.0,16.3,GREEN
45,23,0.0,0.0,0.0,13.4,GREEN
46,26,0.0,0.0,0.0,15.2,GREEN
47,22,0.0,0.0,0.0,12.8,GREEN
48,28,0.0,0.0,0.0,16.3,GREEN
49,23,0.0,0.0,0.0,13.4,GREEN
50,22,0.0,0.0,0.0,12.8,GREEN
51,32,0.0,0.0,0.0,18.7,GREEN
52,30,0.0,0.0,0.0,17.5,GREEN
53,26,0.0,0.0,0.0,15.2,GREEN
54,23,0.0,0.0,0.0,13.4,GREEN
55,22,0.0,0.0,0.0,12.8,GREEN
